id,name,description,category,image_url,location
pc-1,Mid Range PC,"$1,100 mid range PC, comes with a 5060 with a Intel i5 14600k and 16GB of DDR5 RAM",PC,https://picsum.photos/seed/pc1/800/600,Shop Floor
pc-2,PC Build 2,,PC,https://picsum.photos/seed/pc2/800/600,Showroom
pc-3,PC Build 3,,PC,https://picsum.photos/seed/pc3/800/600,Showroom
pc-4,PC Build 4,,PC,https://picsum.photos/seed/pc4/800/600,Showroom
pc-5,PC Build 5,,PC,https://picsum.photos/seed/pc5/800/600,Showroom
pc-6,PC Build 6,,PC,https://picsum.photos/seed/pc6/800/600,Showroom
pc-7,PC Build 7,,PC,https://picsum.photos/seed/pc7/800/600,Showroom
pc-8,PC Build 8,,PC,https://picsum.photos/seed/pc8/800/600,Showroom
pc-9,PC Build 9,,PC,https://picsum.photos/seed/pc9/800/600,Showroom
pc-10,PC Build 10,,PC,https://picsum.photos/seed/pc10/800/600,Showroom
